l1,n_rows,share
Служебные элементы,9770,0.3906
МАФ,5721,0.2287
Рельеф,3292,0.1316
Озеленение,2071,0.0828
Элементы благоустройства,1434,0.0573
Твердые покрытия,918,0.0367
Неизвестно,629,0.0251
Инженерные сети,436,0.0174
Здания и сооружения,353,0.0141
Водопроницаемые покрытия,333,0.0133
Водные объекты,31,0.0012
Сохраняемые покрытия,25,0.001
