class,precision,recall,f1,support
Водопроницаемые покрытия,0.7692,1.0,0.8696,10
Здания и сооружения,0.9027,0.9967,0.9474,2439
Инженерные сети,0.9514,0.9742,0.9627,11047
Служебные элементы,0.9948,0.9415,0.9674,130204
Твердые покрытия,0.9697,0.9874,0.9785,2948
МАФ,0.9615,0.9972,0.979,5337
Рельеф,0.9657,0.9995,0.9823,91857
Неизвестно,0.9789,0.9875,0.9832,157300
Водные объекты,0.9794,0.9894,0.9844,2257
Озеленение,0.9897,0.9991,0.9944,167468
Элементы благоустройства,1.0,1.0,1.0,119
